,user_id,question_id,mid,Overall DA Score,Content Adequacy,Conciseness,Fluency,sourcerer_id
0,0aAg9cMttpLPO8WuMz6v,1,0.0,90.0,3.0,5.0,5.0,34414313
1,0aAg9cMttpLPO8WuMz6v,1,1.0,100.0,5.0,5.0,5.0,34414313
2,0aAg9cMttpLPO8WuMz6v,1,2.0,100.0,5.0,5.0,5.0,34414313
3,0aAg9cMttpLPO8WuMz6v,1,3.0,95.0,5.0,5.0,4.0,34414313
4,0aAg9cMttpLPO8WuMz6v,1,4.0,70.0,3.0,3.0,4.0,34414313
5,0aAg9cMttpLPO8WuMz6v,1,5.0,,1.0,1.0,5.0,34414313
6,fCVk8MAnGWNW6hkV00qY,1,0.0,85.0,4.0,5.0,5.0,34414313
7,fCVk8MAnGWNW6hkV00qY,1,1.0,70.0,4.0,5.0,4.0,34414313
8,fCVk8MAnGWNW6hkV00qY,1,2.0,70.0,4.0,5.0,4.0,34414313
9,fCVk8MAnGWNW6hkV00qY,1,3.0,75.0,4.0,5.0,5.0,34414313
10,fCVk8MAnGWNW6hkV00qY,1,4.0,60.0,3.0,4.0,3.0,34414313
11,fCVk8MAnGWNW6hkV00qY,1,5.0,40.0,2.0,2.0,5.0,34414313
12,0aAg9cMttpLPO8WuMz6v,34,0.0,90.0,4.0,5.0,3.0,7316417
13,0aAg9cMttpLPO8WuMz6v,34,1.0,95.0,5.0,5.0,5.0,7316417
14,0aAg9cMttpLPO8WuMz6v,34,2.0,85.0,5.0,5.0,3.0,7316417
15,0aAg9cMttpLPO8WuMz6v,34,3.0,85.0,5.0,5.0,5.0,7316417
16,0aAg9cMttpLPO8WuMz6v,34,4.0,95.0,5.0,5.0,5.0,7316417
17,0aAg9cMttpLPO8WuMz6v,34,5.0,,1.0,1.0,4.0,7316417
18,Xe9Jiclu9Wt8pFaySxXD,34,0.0,62.0,3.0,3.0,3.0,7316417
19,Xe9Jiclu9Wt8pFaySxXD,34,1.0,50.0,4.0,3.0,3.0,7316417
20,Xe9Jiclu9Wt8pFaySxXD,34,2.0,85.0,5.0,4.0,4.0,7316417
21,Xe9Jiclu9Wt8pFaySxXD,34,3.0,50.0,2.0,2.0,2.0,7316417
22,Xe9Jiclu9Wt8pFaySxXD,34,4.0,50.0,2.0,2.0,2.0,7316417
23,Xe9Jiclu9Wt8pFaySxXD,34,5.0,50.0,3.0,2.0,2.0,7316417
24,0aAg9cMttpLPO8WuMz6v,88,0.0,80.0,5.0,5.0,5.0,22907975
25,0aAg9cMttpLPO8WuMz6v,88,1.0,100.0,5.0,5.0,5.0,22907975
26,0aAg9cMttpLPO8WuMz6v,88,2.0,100.0,5.0,5.0,5.0,22907975
27,0aAg9cMttpLPO8WuMz6v,88,3.0,100.0,5.0,5.0,5.0,22907975
28,0aAg9cMttpLPO8WuMz6v,88,4.0,90.0,5.0,5.0,5.0,22907975
29,0aAg9cMttpLPO8WuMz6v,88,5.0,25.0,2.0,3.0,4.0,22907975
